ts,datetime,key,value
1662095991439,2022/09/02 01:19:51,humidity,86.8
1662095986626,2022/09/02 01:19:46,humidity,86.8
1662095979010,2022/09/02 01:19:39,humidity,86.8
1662095974708,2022/09/02 01:19:34,humidity,86.8
1662095960489,2022/09/02 01:19:20,humidity,86.8
1662095953772,2022/09/02 01:19:13,humidity,86.8
1662095948526,2022/09/02 01:19:08,humidity,86.8
1662095934462,2022/09/02 01:18:54,humidity,86.8
1662095919402,2022/09/02 01:18:39,humidity,86.8
1662095913992,2022/09/02 01:18:33,humidity,86.8
1662095901545,2022/09/02 01:18:21,humidity,86.8
1662095895235,2022/09/02 01:18:15,humidity,86.8
1662095887281,2022/09/02 01:18:07,humidity,86.8
1662095875159,2022/09/02 01:17:55,humidity,86.7
1662095861669,2022/09/02 01:17:41,humidity,86.6
1662095854354,2022/09/02 01:17:34,humidity,86.5
1662095849505,2022/09/02 01:17:29,humidity,86.5
1662095842287,2022/09/02 01:17:22,humidity,86.4
1662095837369,2022/09/02 01:17:17,humidity,86.3
1662095823517,2022/09/02 01:17:03,humidity,86.2
1662095808200,2022/09/02 01:16:48,humidity,86.2
1662095802572,2022/09/02 01:16:42,humidity,86.3
1662095795415,2022/09/02 01:16:35,humidity,86.3
1662095782239,2022/09/02 01:16:22,humidity,86.3
1662095768071,2022/09/02 01:16:08,humidity,86.3
1662095762276,2022/09/02 01:16:02,humidity,86.3
1662095755182,2022/09/02 01:15:55,humidity,86.3
1662095749228,2022/09/02 01:15:49,humidity,86.3
1662095744577,2022/09/02 01:15:44,humidity,86.2
1662095737617,2022/09/02 01:15:37,humidity,86.2
1662095732888,2022/09/02 01:15:32,humidity,86.2
1662095727874,2022/09/02 01:15:27,humidity,86.2
1662095721531,2022/09/02 01:15:21,humidity,86.2
1662095716530,2022/09/02 01:15:16,humidity,86.2
1662095709874,2022/09/02 01:15:09,humidity,86.2
1662095704865,2022/09/02 01:15:04,humidity,86.2
1662095697315,2022/09/02 01:14:57,humidity,86.2
1662095693227,2022/09/02 01:14:53,humidity,86.1
1662095671305,2022/09/02 01:14:31,humidity,86.2
1662095665463,2022/09/02 01:14:25,humidity,86.2
1662095659217,2022/09/02 01:14:19,humidity,86.2
1662095653558,2022/09/02 01:14:13,humidity,86.2
1662095646286,2022/09/02 01:14:06,humidity,86.2
1662095641835,2022/09/02 01:14:01,humidity,86.2
1662095637769,2022/09/02 01:13:57,humidity,86.2
1662095631927,2022/09/02 01:13:51,humidity,86.2
1662095624206,2022/09/02 01:13:44,humidity,86.2
1662095619050,2022/09/02 01:13:39,humidity,86.2
1662095613795,2022/09/02 01:13:33,humidity,86.3
1662095608531,2022/09/02 01:13:28,humidity,86.3
1662095603713,2022/09/02 01:13:23,humidity,86.3
1662095596119,2022/09/02 01:13:16,humidity,86.3
1662095568114,2022/09/02 01:12:48,humidity,86.3
1662095554840,2022/09/02 01:12:34,humidity,86.3
1662095548343,2022/09/02 01:12:28,humidity,86.2
1662095526580,2022/09/02 01:12:06,humidity,86
1662095512450,2022/09/02 01:11:52,humidity,85.9
1662095505912,2022/09/02 01:11:45,humidity,85.8
1662095497360,2022/09/02 01:11:37,humidity,85.8
1662095492431,2022/09/02 01:11:32,humidity,85.8
1662095485303,2022/09/02 01:11:25,humidity,85.8
1662095481709,2022/09/02 01:11:21,humidity,85.9
1662095453935,2022/09/02 01:10:53,humidity,85.9
1662095448458,2022/09/02 01:10:48,humidity,85.9
1662095441778,2022/09/02 01:10:41,humidity,85.9
1662095427653,2022/09/02 01:10:27,humidity,85.9
1662095413638,2022/09/02 01:10:13,humidity,85.8
1662095406341,2022/09/02 01:10:06,humidity,85.8
1662095385804,2022/09/02 01:09:45,humidity,85.7
1662095378727,2022/09/02 01:09:38,humidity,85.7
1662095359653,2022/09/02 01:09:19,humidity,85.7
1662095352033,2022/09/02 01:09:12,humidity,85.7
1662095347741,2022/09/02 01:09:07,humidity,85.8
1662095340861,2022/09/02 01:09:00,humidity,85.8
1662095326269,2022/09/02 01:08:46,humidity,85.8
1662095318859,2022/09/02 01:08:38,humidity,85.8
1662095304796,2022/09/02 01:08:24,humidity,85.9
1662095290738,2022/09/02 01:08:10,humidity,85.9
1662095283577,2022/09/02 01:08:03,humidity,85.9
1662095278644,2022/09/02 01:07:58,humidity,86
1662095271417,2022/09/02 01:07:51,humidity,86
1662095257659,2022/09/02 01:07:37,humidity,86
1662095250669,2022/09/02 01:07:30,humidity,86
1662095245380,2022/09/02 01:07:25,humidity,86
1662095233051,2022/09/02 01:07:13,humidity,86
1662095227427,2022/09/02 01:07:07,humidity,86
1662095220849,2022/09/02 01:07:00,humidity,86
1662095213562,2022/09/02 01:06:53,humidity,86
1662095207442,2022/09/02 01:06:47,humidity,86
1662095194235,2022/09/02 01:06:34,humidity,86
1662095189098,2022/09/02 01:06:29,humidity,86
1662095183777,2022/09/02 01:06:23,humidity,86
1662095149821,2022/09/02 01:05:49,humidity,85.9
1662095142529,2022/09/02 01:05:42,humidity,85.9
1662095138299,2022/09/02 01:05:38,humidity,85.9
1662095133591,2022/09/02 01:05:33,humidity,85.9
1662095126821,2022/09/02 01:05:26,humidity,85.9
1662095121652,2022/09/02 01:05:21,humidity,85.9
1662095114038,2022/09/02 01:05:14,humidity,85.9
1662095110745,2022/09/02 01:05:10,humidity,85.9
1662095994073,2022/09/02 01:19:54,precipitation2mm,0
1662095984389,2022/09/02 01:19:44,precipitation2mm,0
1662095977760,2022/09/02 01:19:37,precipitation2mm,0
1662095972425,2022/09/02 01:19:32,precipitation2mm,0
1662095964950,2022/09/02 01:19:24,precipitation2mm,0
1662095958285,2022/09/02 01:19:18,precipitation2mm,0
1662095951564,2022/09/02 01:19:11,precipitation2mm,0
1662095946277,2022/09/02 01:19:06,precipitation2mm,0
1662095938805,2022/09/02 01:18:58,precipitation2mm,0
1662095931217,2022/09/02 01:18:51,precipitation2mm,0
1662095924719,2022/09/02 01:18:44,precipitation2mm,0
1662095917136,2022/09/02 01:18:37,precipitation2mm,0
1662095904108,2022/09/02 01:18:24,precipitation2mm,0
1662095899438,2022/09/02 01:18:19,precipitation2mm,0
1662095892173,2022/09/02 01:18:12,precipitation2mm,0
1662095879115,2022/09/02 01:17:59,precipitation2mm,0
1662095865915,2022/09/02 01:17:45,precipitation2mm,0
1662095859400,2022/09/02 01:17:39,precipitation2mm,0
1662095847304,2022/09/02 01:17:27,precipitation2mm,0
1662095835174,2022/09/02 01:17:15,precipitation2mm,0
1662095827678,2022/09/02 01:17:07,precipitation2mm,0
1662095820271,2022/09/02 01:17:00,precipitation2mm,0
1662095813717,2022/09/02 01:16:53,precipitation2mm,0
1662095806084,2022/09/02 01:16:46,precipitation2mm,0
1662095800366,2022/09/02 01:16:40,precipitation2mm,0
1662095787588,2022/09/02 01:16:27,precipitation2mm,0
1662095780992,2022/09/02 01:16:20,precipitation2mm,0
1662095773963,2022/09/02 01:16:13,precipitation2mm,0
1662095766889,2022/09/02 01:16:06,precipitation2mm,0
1662095759116,2022/09/02 01:15:59,precipitation2mm,0
